Address,City,State,Zip Code,Source
807 Farson Street,Belpre,OH,45714,AnnexA
28595 Orchard Lake Road,Farmington Hills,MI,48334,AnnexA
1600 State Street,Salem,OR,97301,AnnexA
13657 West McDowell Road,Goodyear,AZ,85395,AnnexA
65 International Drive,Greenville,SC,29615,AnnexA
818 Forest Lane,Waterford,WI,53185,AnnexA
8545 Common Road,Warren,MI,48093,AnnexA
500 West Main Street,Freehold,NJ,07728,AnnexA
757 45th Street,Munster,IN,46321,AnnexA
2631 Centennial Boulevard,Tallahassee,FL,32308,AnnexA
2712 Lawrenceville Highway,Decatur,GA,30033,AnnexA
900 East Division Street,Wautoma,WI,54982,AnnexA
875 North Greenfield Road,Gilbert,AZ,85234,AnnexA
4282 East Rockton Road,Roscoe,IL,61073,AnnexA
20095 Gilbert Road,Big Rapids,MI,49307,AnnexA
805 Sir Thomas Court,Harrisburg,PA,17109,AnnexA
850 Johns Hopkins Drive,Greenville,NC,27834,AnnexA
233 College Avenue,Lancaster,PA,17603,AnnexA
2140 Fisher Road,Mechanicsburg,PA,17055,AnnexA
